Species	Assessment	Tanglees	IDs	Metadata
Danaus affinis	paraphyletic	Danaus melanippus,Danaus genutia	ANICT1129-11,LOQC758-05,LOQC776-05,LOQTI427-11,LOQTI736-12,KHCBT1102-16	
Danaus chrysippus	polyphyletic	Danaus gilippus,Danaus erippus,Danaus melanippus,Danaus gilippusDHJ01,Danaus eresimus,Danaus affinis,Danaus plexippus,Danaus gilippusDHJ02,Danaus ismare,Danaus genutia	GBLN0112-06,MABUT109-10,GBLN0115-06,GBLN0117-06,LSAFR2271-12,WALPB2425-14,WALPB2429-14,GWOTH602-12,LSAFR2199-12,ANICT1128-11,LNSWE139-06,GBLN0109-06,SZCBP431-15,GBGL8326-12,LNSWE282-06,LNSWG282-06,GBLN0113-06,LNSWE161-06,GBLN0114-06,MABUT112-10,SZCBP498-15,EZSPC1197-10,EZSPC1393-10,GBLN4292-14,FPMBC072-15,SZCBP462-15,SZCBP472-15,EZSPN784-09,GBLN0116-06,AGIRI015-17,EZSPN783-09,GBGL8254-12,GBLN5577-15,CBL008-12,GBMIN22830-13,EZSPM286-09,GBMIN23976-13,MAIMB137-09,EZSPC1394-10,GBLN4382-14,EZSPM284-09,GBLN4726-14,EZSPC1392-10,EZSPC1196-10,SZCBP463-15,GBGL8293-12,GBLN0118-06,SZCBP461-15,GBMIN12288-13,MABUT113-10,EZSPC1198-10,DMAZ124-09,MABUT110-10,EZSPC1195-10,MABUT111-10	
Danaus eresimus	polyphyletic	Danaus ismare,Danaus genutia,Danaus chrysippus,Danaus melanippus,Danaus gilippusDHJ01,Danaus gilippus,Danaus erippus,Danaus gilippusDHJ02,Danaus plexippus,Danaus affinis	LYPAP515-09,LEPPA326-12,LEPPA384-12,LYPAP519-09,LYPAP514-09,LYPAP516-09,LYPAP517-09,LYPAP513-09,LYPAP521-09,LEPPA567-13,LEPAR265-11,LEPPA573-13,LEPAR273-11,LEPPA233-12,LEPIG034-11,LEPPA337-12,LEPAR269-11,BBLOC568-11,GBLN0110-06,LEPAR1007-14,LEPPA313-12,BBLOB381-11	
Danaus erippus	monophyletic		LEPAR267-11,LEPPA563-13,LEPPA731-13,LEPIG519-11,LEPPA057-11,LEPPA773-13,LEPAR193-11,LEPAR229-11,LEPPA027-11,LEPPA813-13,LEPAR223-11,LEPPA575-13	
Danaus genutia	paraphyletic	Danaus affinis,Danaus melanippus	ANICT934-11,GBLN4388-14,CBL010-12,GBMIN22829-13,GBGL8280-12,GBMIN12316-13,GBLN0299-06,KHCBT1197-16,BOPM163-12,KHCBT1100-16,GBLN5592-15,KHCBT1065-16,BOPM165-12,KHCBT1097-16,KHCBT1190-16,GBLN4728-14,BOPM164-12,MABUT328-13,MYENT078-17	
Danaus gilippus	paraphyletic	Danaus gilippusDHJ02,Danaus eresimus	LOFLC286-06,LEPPA826-13,LEPPA717-13,BBLOD914-11,LEPAR956-14,LEPPA758-13,LEPPA726-13,LYPAP528-09,LEPPA364-12,LEPPA821-13,LYPAP524-09,LYPAP526-09,BBLOD911-11,GBLN0530-06,LYPAP529-09,GBLN0111-06,BBLOD894-11,BBLOD1847-11,BBLOD913-11,LOFLC168-06,LYPAP522-09,BBLOD884-11,LYPAP525-09,LYPAP523-09,LYPAP518-09,LYPAP520-09,LYPAP527-09,LYPAP531-09,LYPAP530-09,BBLOD1831-11,GBLN2045-09	
Danaus gilippusDHJ01	monophyletic		MHAAC201-06	
Danaus gilippusDHJ02	polyphyletic	Danaus gilippus,Danaus eresimus	MHAAB434-05,MHAAB655-05,MHMXO675-08,MHMXO674-08	
Danaus ismare	monophyletic		GBLN0491-06	
Danaus melanippus	paraphyletic	Danaus affinis	SETIU018-16,BOPM168-12,BOPM166-12,FPMBC151-15,BOPM167-12	
Danaus plexippus	monophyletic		MHACG747-05,BLPDD747-09,LYPAP539-09,BLPDO987-10,MHACG743-05,MHMXO676-08,MHAAC200-06,MHACG742-05,EZSPM685-12,SDP129035-13,MHACG750-05,LYPAP538-09,MHMXE540-06,XAB109-04,LYPAP537-09,BLPDO988-10,MHMXY649-09,LYPAP534-09,MHACG748-05,MHMXY650-09,MHACG727-05,MHMXY652-09,MHMYC1253-09,MHMXS241-08,MHMXY654-09,LEFIA1435-10,MHACG744-05,MHACG746-05,BLPDO1005-10,MHMXY653-09,LYPAP535-09,MHMXY651-09,GBLN0108-06,EZSPC1347-10,EZSPM686-12,LNSWE145-06,GBLN0509-06,LPSOB166-08,LNSWE160-06,LNSWE182-06,LYPAP536-09,GBLN2044-09,LYPAP532-09,ANICT931-11,XAJ967-06,EZSPM277-09,ANICT932-11,LYPAP533-09,ANICT933-11,NZPWP089-12,MHACG745-05,XAH203-05,MHACG749-05,XAK468-06,BBLOC991-11,BLPDO835-10	
