ID,Description,Name
NA,Missing data,NA
 0,Agriculture not practiced or confined to non-food crops,Agricultureal not practiced or confines to non-food crops
1,No secondary agricultural staple,No secondary agricultural staple
12,Barley,Barley
13,Millet,Millet
14,Sorghum,Sorghum
15,Maize,Maize
16,Dry Rice,Dry Rice
17,Wet Rice,Wet Rice
22,Taro or Okuma,Taro or Okuma
23,White Potato,White Potato
24,Cassava (Manioc),Cassava (Manioc)
31,Bananas or Plantains,Bananas or Plantains
35,Sago and other Palms,Sago and other Palms
36,Pandanus,Pandanus
