taxon_name	character_value
Antilocapra americana	1
Addax nasomaculatus	1
Aepyceros melampus	1
Alcelaphus buselaphus	1
Ammodorcas clarkei	1
Ammotragus lervia	1
Antidorcas marsupialis	1
Antilope cervicapra	1
Hemitragus jayakari	0
Beatragus hunteri	1
Bison bison	1
Bison bonasus	1
Bos frontalis gaurus	1
Bos javanicus	1
Bos grunniens mutus	1
Bos taurus primigenius	1
Bos sauveli	1
Boselaphus tragocamelus	0
Bubalus bubalis arnee	0
Bubalus depressicornis	0
Bubalus mindorensis	1
Bubalus quarlesi	1
Budorcas taxicolor	1
Capra hircus aegagrus	1
Capra caucasica	1
Capra caucasica cylindricornis	1
Capra falconeri	1
Capra ibex	1
Capra nubiana	1
Capra pyrenaica	1
Capra sibirica	1
Capra walie	1
Capricornis crispus	0
Capricornis milneedwardsii	1
Capricornis rubidus	1
Capricornis sumatraensis	1
Capricornis swinhoei	0
Capricornis thar	1
Cephalophus adersi	0
Cephalophus callipygus	0
Cephalophus dorsalis	0
Cephalophus natalensis harveyi	0
Cephalophus jentinki	0
Cephalophus leucogaster	0
Cephalophus natalensis	0
Cephalophus niger	0
Cephalophus nigrifrons	0
Cephalophus ogilbyi	0
Cephalophus rufilatus	0
Cephalophus silvicultor	0
Cephalophus spadix	0
Cephalophus weynsi	0
Cephalophus zebra	0
Connochaetes gnou	1
Connochaetes taurinus	1
Damaliscus lunatus	1
Damaliscus pygargus	1
Dorcatragus megalotis	1
Eudorcas rufifrons	1
Eudorcas rufina	1
Eudorcas thomsonii	1
Gazella arabica	1
Gazella bennettii	1
Gazella cuvieri	1
Gazella dorcas	1
Gazella gazella	1
Gazella leptoceros	1
Gazella saudiya	1
Gazella spekei	1
Gazella subgutturosa	1
Hemitragus jemlahicus	0
Hippotragus equinus	1
Hippotragus leucophaeus	1
Hippotragus niger	1
Kobus ellipsiprymnus	1
Kobus kob	1
Kobus leche	1
Kobus megaceros	1
Kobus vardonii	1
Litocranius walleri	1
Madoqua guentheri	1
Madoqua kirkii	1
Madoqua piacentinii	1
Madoqua saltiana	1
Naemorhedus baileyi	1
Naemorhedus caudatus	0
Naemorhedus goral	0
Naemorhedus griseus	0
Nanger dama	1
Nanger granti	1
Nanger soemmerringii	1
Neotragus batesi	1
Neotragus pygmaeus	0
Neotragus moschatus	0
Hemitragus hylocrius	1
Oreamnos americanus	1
Oreotragus oreotragus	1
Oryx beisa	0
Oryx dammah	0
Oryx gazella	0
Oryx leucoryx	0
Ourebia ourebi	1
Ovibos moschatus	1
Ovis ammon	1
Ovis canadensis	1
Ovis dalli	1
Ovis nivicola	1
Ovis aries orientalis	0
Pantholops hodgsonii	1
Pelea capreolus	1
Philantomba maxwellii	0
Philantomba monticola	0
Procapra gutturosa	1
Procapra picticaudata	1
Procapra przewalskii	1
Pseudois nayaur	1
Pseudois schaeferi	1
Pseudoryx nghetinhensis	1
Raphicerus campestris	0
Raphicerus melanotis	1
Raphicerus sharpei	1
Redunca arundinum	1
Redunca fulvorufula	1
Redunca redunca	1
Rupicapra pyrenaica	1
Rupicapra rupicapra	1
Saiga tatarica	1
Sylvicapra grimmia	0
Syncerus caffer	1
Tetracerus quadricornis	1
Tragelaphus angasii	0
Tragelaphus buxtoni	1
Taurotragus derbianus	0
Tragelaphus eurycerus	1
Tragelaphus imberbis	1
Tragelaphus oryx	0
Tragelaphus scriptus	1
Tragelaphus spekii	1
Tragelaphus strepsiceros	1
Camelus dromedarius	0
Lama glama guanicoe	1
Vicugna vicugna	1
Alces alces	1
Alces americanus	1
Axis axis	0
Axis calamianensis	1
Axis kuhlii	1
Axis porcinus	0
Blastocerus dichotomus	1
Capreolus capreolus	1
Capreolus pygargus	1
Cervus elaphus	1
Cervus nippon	1
Dama dama	1
Dama dama mesopotamica	1
Elaphodus cephalophus	1
Elaphurus davidianus	1
Hippocamelus antisensis	1
Hippocamelus bisulcus	1
Hydropotes inermis	1
Mazama americana	0
Mazama bororo	1
Mazama bricenii	0
Mazama chunyi	0
Mazama gouazoubira	0
Mazama nana	1
Mazama gouazoubira	1
Mazama pandora	1
Mazama rufina	1
Mazama temama	1
Muntiacus atherodes	0
Muntiacus crinifrons	1
Muntiacus feae	0
Muntiacus gongshanensis	1
Muntiacus muntjak	1
Muntiacus muntjak	0
Muntiacus puhoatensis	1
Muntiacus putaoensis	0
Muntiacus reevesi	1
Muntiacus rooseveltorum	1
Muntiacus truongsonensis	1
Muntiacus vuquangensis	0
Odocoileus hemionus	0
Odocoileus virginianus	0
Ozotoceros bezoarticus	1
Przewalskium albirostris	1
Pudu mephistophiles	0
Pudu puda	0
Rangifer tarandus	1
Rucervus duvaucelii	1
Rucervus eldii	0
Rucervus schomburgki	1
Rusa alfredi	1
Rusa marianna	1
Rusa timorensis	1
Rusa unicolor	1
Giraffa camelopardalis	1
Okapia johnstoni	0
Hexaprotodon liberiensis	0
Hippopotamus amphibius	1
Moschus anhuiensis	1
Moschus berezovskii	1
Moschus chrysogaster	1
Moschus cupreus	1
Moschus fuscus	1
Moschus leucogaster	1
Moschus moschiferus	1
Babyrousa babyrussa	0
Babyrousa celebensis	0
Babyrousa togeanensis	0
Hylochoerus meinertzhageni	1
Phacochoerus aethiopicus	0
Phacochoerus africanus	0
Sus salvanius	0
Potamochoerus larvatus	0
Potamochoerus porcus	0
Sus ahoenobarbus	0
Sus barbatus	0
Sus bucculentus	0
Sus cebifrons	0
Sus celebensis	0
Sus oliveri	0
Sus philippensis	0
Sus scrofa	0
Sus verrucosus	1
Catagonus wagneri	0
Pecari tajacu	0
Tayassu pecari	0
Hyemoschus aquaticus	0
Moschiola meminna	0
Tragulus javanicus	0
Tragulus kanchil	0
Tragulus napu	0
Tragulus nigricans	0
Tragulus versicolor	0
Tragulus williamsoni	0
Equus caballus	1
Equus ferus	1
Equus grevyi	1
Equus hemionus	1
Equus kiang	1
Equus quagga	1
Equus zebra	1
Ceratotherium simum	1
Dicerorhinus sumatrensis	0
Diceros bicornis	1
Rhinoceros sondaicus	0
Rhinoceros unicornis	0
Tapirus bairdii	0
Tapirus indicus	0
Tapirus pinchaque	0
Tapirus terrestris	0
