p.canonical,pred.name,obj.name
Enhydra lutris,geographic distribution includes,Russia
Enhydra lutris,geographic distribution includes,Canada
Enhydra lutris,geographic distribution includes,Gulf of Alaska
Enhydra lutris,geographic distribution includes,Bering Sea
Enhydra lutris,geographic distribution includes,Sea of Okhostk
Enhydra lutris,geographic distribution includes,Beaufort Sea
Enhydra lutris,geographic distribution includes,North Pacific
Enhydra lutris,geographic distribution includes,Okhotsk
Enhydra lutris,geographic distribution includes,Arctic
Enhydra lutris,geographic distribution includes,low Arctic
